(0, 0) => (19, 16) @ (22, 18) == -1
(3, 16) => (4, 17) @ (22, 16) == 1
(4, 17) => (5, 18) @ (22, 17) == 1
(5, 18) => (6, 19) @ (22, 18) == 1
(6, 19) => (7, 20) @ (22, 19) == 1
(7, 20) => (8, 21) @ (22, 20) == 1
(8, 21) => (9, 22) @ (22, 21) == 1
(9, 22) => (10, 23) @ (22, 22) == 1
(10, 23) => (11, 24) @ (22, 23) == 1
(11, 24) => (12, 25) @ (22, 24) == 1
(12, 25) => (13, 26) @ (22, 25) == 1
(13, 26) => (14, 27) @ (22, 26) == 1
(14, 27) => (15, 28) @ (22, 27) == 1
(15, 28) => (16, 29) @ (22, 28) == 1
(16, 29) => (17, 30) @ (22, 29) == 1
(17, 30) => (18, 31) @ (22, 30) == 1
(18, 31) => (19, 32) @ (22, 31) == 1
(19, 32) => (20, 33) @ (22, 32) == 1
(20, 33) => (21, 34) @ (22, 33) == 1
(21, 34) => (20, 35) @ (22, 34) == 1
(20, 35) => (19, 34) @ (22, 35) == -1
(19, 34) => (18, 33) @ (22, 34) == -1
(18, 33) => (17, 32) @ (22, 33) == -1
(17, 32) => (16, 31) @ (22, 32) == -1
(16, 31) => (15, 30) @ (22, 31) == -1
(15, 30) => (14, 29) @ (22, 30) == -1
(14, 29) => (13, 28) @ (22, 29) == -1
(13, 28) => (14, 27) @ (22, 28) == -1
(14, 27) => (13, 28) @ (22, 27) == 1
(13, 28) => (12, 29) @ (22, 28) == 1
(12, 29) => (11, 30) @ (22, 29) == 1
(11, 30) => (10, 31) @ (22, 30) == 1
(10, 31) => (9, 32) @ (22, 31) == 1
(9, 32) => (8, 33) @ (22, 32) == 1
(8, 33) => (9, 34) @ (22, 33) == 1
(9, 34) => (10, 35) @ (22, 34) == 1
(10, 35) => (11, 34) @ (22, 35) == -1
(11, 34) => (12, 33) @ (22, 34) == -1
(12, 33) => (13, 32) @ (22, 33) == -1
(13, 32) => (14, 31) @ (22, 32) == -1
(14, 31) => (15, 30) @ (22, 31) == -1
(15, 30) => (16, 29) @ (22, 30) == -1
(16, 29) => (17, 28) @ (22, 29) == -1
(17, 28) => (18, 27) @ (22, 28) == -1
(18, 27) => (19, 26) @ (22, 27) == -1
(19, 26) => (20, 25) @ (22, 26) == -1
(20, 25) => (21, 24) @ (22, 25) == -1
(21, 24) => (20, 23) @ (22, 24) == -1
(20, 23) => (19, 22) @ (22, 23) == -1
(19, 22) => (18, 21) @ (22, 22) == -1
(18, 21) => (17, 20) @ (22, 21) == -1
(17, 20) => (16, 19) @ (22, 20) == -1
(16, 19) => (15, 18) @ (22, 19) == -1
(15, 18) => (14, 17) @ (22, 18) == -1
(14, 17) => (13, 16) @ (22, 17) == -1
(13, 16) => (12, 15) @ (22, 16) == -1
(12, 15) => (11, 14) @ (22, 15) == -1
(11, 14) => (10, 13) @ (22, 14) == -1
(10, 13) => (9, 12) @ (22, 13) == -1
(9, 12) => (8, 11) @ (22, 12) == -1
(8, 11) => (9, 12) @ (22, 11) == 1
(9, 12) => (10, 13) @ (22, 12) == 1
(10, 13) => (11, 14) @ (22, 13) == 1
(11, 14) => (12, 15) @ (22, 14) == 1
(12, 15) => (13, 16) @ (22, 15) == 1
(13, 16) => (14, 17) @ (22, 16) == 1
(14, 17) => (15, 18) @ (22, 17) == 1
(15, 18) => (16, 19) @ (22, 18) == 1
(16, 19) => (17, 20) @ (22, 19) == 1
(17, 20) => (18, 21) @ (22, 20) == 1
(18, 21) => (19, 22) @ (22, 21) == 1
(19, 22) => (20, 23) @ (22, 22) == 1
(20, 23) => (21, 24) @ (22, 23) == 1
(21, 24) => (20, 25) @ (22, 24) == 1
(20, 25) => (19, 26) @ (22, 25) == 1
(19, 26) => (18, 27) @ (22, 26) == 1
(18, 27) => (17, 28) @ (22, 27) == 1
(17, 28) => (16, 29) @ (22, 28) == 1
(16, 29) => (15, 30) @ (22, 29) == 1
(15, 30) => (14, 31) @ (22, 30) == 1
(14, 31) => (13, 32) @ (22, 31) == 1
(13, 32) => (12, 33) @ (22, 32) == 1
(12, 33) => (11, 34) @ (22, 33) == 1
(11, 34) => (10, 35) @ (22, 34) == 1
(10, 35) => (9, 34) @ (22, 35) == -1
(9, 34) => (8, 33) @ (22, 34) == -1
(8, 33) => (9, 34) @ (22, 33) == 1
(9, 34) => (10, 35) @ (22, 34) == 1
(10, 35) => (11, 34) @ (22, 35) == -1
(11, 34) => (12, 33) @ (22, 34) == -1
(12, 33) => (13, 32) @ (22, 33) == -1
(13, 32) => (14, 31) @ (22, 32) == -1
(14, 31) => (15, 30) @ (22, 31) == -1
(15, 30) => (16, 29) @ (22, 30) == -1
(16, 29) => (17, 28) @ (22, 29) == -1
(17, 28) => (18, 27) @ (22, 28) == -1
(18, 27) => (19, 26) @ (22, 27) == -1
(19, 26) => (20, 25) @ (22, 26) == -1
(20, 25) => (21, 24) @ (22, 25) == -1
(21, 24) => (20, 23) @ (22, 24) == -1
(20, 23) => (19, 22) @ (22, 23) == -1
(19, 22) => (18, 21) @ (22, 22) == -1
(18, 21) => (17, 20) @ (22, 21) == -1
(17, 20) => (16, 19) @ (22, 20) == -1
(16, 19) => (15, 18) @ (22, 19) == -1
(15, 18) => (14, 17) @ (22, 18) == -1
(14, 17) => (13, 16) @ (22, 17) == -1
(13, 16) => (12, 15) @ (22, 16) == -1
(12, 15) => (11, 14) @ (22, 15) == -1
(11, 14) => (10, 13) @ (22, 14) == -1
(10, 13) => (9, 12) @ (22, 13) == -1
(9, 12) => (8, 11) @ (22, 12) == -1
(8, 11) => (7, 10) @ (22, 11) == -1
(7, 10) => (8, 9) @ (22, 10) == -1
(8, 9) => (9, 10) @ (22, 9) == 1
(9, 10) => (10, 11) @ (22, 10) == 1
(10, 11) => (11, 12) @ (22, 11) == 1
(11, 12) => (12, 13) @ (22, 12) == 1
(12, 13) => (13, 14) @ (22, 13) == 1
(13, 14) => (14, 15) @ (22, 14) == 1
(14, 15) => (15, 16) @ (22, 15) == 1
(15, 16) => (16, 17) @ (22, 16) == 1
(16, 17) => (17, 18) @ (22, 17) == 1
(17, 18) => (18, 19) @ (22, 18) == 1
(18, 19) => (19, 20) @ (22, 19) == 1
(19, 20) => (20, 21) @ (22, 20) == 1
(20, 21) => (21, 22) @ (22, 21) == 1
(21, 22) => (20, 23) @ (22, 22) == 1
(20, 23) => (19, 24) @ (22, 23) == 1
(19, 24) => (18, 25) @ (22, 24) == 1
(18, 25) => (17, 26) @ (22, 25) == 1
(17, 26) => (16, 27) @ (22, 26) == 1
(16, 27) => (15, 28) @ (22, 27) == 1
(15, 28) => (14, 29) @ (22, 28) == 1
(14, 29) => (13, 30) @ (22, 29) == 1
(13, 30) => (12, 31) @ (22, 30) == 1
(12, 31) => (11, 32) @ (22, 31) == 1
(11, 32) => (10, 33) @ (22, 32) == 1
(10, 33) => (9, 34) @ (22, 33) == 1
(9, 34) => (8, 35) @ (22, 34) == 1
(8, 35) => (7, 34) @ (22, 35) == -1
(7, 34) => (8, 33) @ (22, 34) == -1
(8, 33) => (9, 32) @ (22, 33) == -1
(9, 32) => (10, 31) @ (22, 32) == -1
(10, 31) => (11, 30) @ (22, 31) == -1
(11, 30) => (12, 29) @ (22, 30) == -1
(12, 29) => (13, 28) @ (22, 29) == -1
(13, 28) => (14, 27) @ (22, 28) == -1
(14, 27) => (15, 26) @ (22, 27) == -1
(15, 26) => (16, 25) @ (22, 26) == -1
(16, 25) => (17, 24) @ (22, 25) == -1
(17, 24) => (18, 23) @ (22, 24) == -1
(18, 23) => (19, 22) @ (22, 23) == -1
(19, 22) => (20, 21) @ (22, 22) == -1
(20, 21) => (21, 20) @ (22, 21) == -1
(21, 20) => (20, 19) @ (22, 20) == -1
(20, 19) => (19, 18) @ (22, 19) == -1
(19, 18) => (18, 17) @ (22, 18) == -1
(18, 17) => (17, 16) @ (22, 17) == -1
(17, 16) => (16, 15) @ (22, 16) == -1
(16, 15) => (15, 14) @ (22, 15) == -1
(15, 14) => (14, 13) @ (22, 14) == -1
(14, 13) => (13, 12) @ (22, 13) == -1
(13, 12) => (12, 11) @ (22, 12) == -1
(12, 11) => (11, 10) @ (22, 11) == -1
(11, 10) => (10, 9) @ (22, 10) == -1
(10, 9) => (9, 8) @ (22, 9) == -1
(9, 8) => (10, 9) @ (22, 8) == 1
(10, 9) => (11, 10) @ (22, 9) == 1
(11, 10) => (12, 11) @ (22, 10) == 1
(12, 11) => (13, 12) @ (22, 11) == 1
(13, 12) => (14, 13) @ (22, 12) == 1
(14, 13) => (15, 14) @ (22, 13) == 1
(15, 14) => (16, 15) @ (22, 14) == 1
(16, 15) => (17, 16) @ (22, 15) == 1
(17, 16) => (18, 17) @ (22, 16) == 1
(18, 17) => (19, 18) @ (22, 17) == 1
(19, 18) => (20, 19) @ (22, 18) == 1
(20, 19) => (21, 20) @ (22, 19) == 1
(21, 20) => (20, 21) @ (22, 20) == 1
(20, 21) => (19, 22) @ (22, 21) == 1
(19, 22) => (18, 23) @ (22, 22) == 1
(18, 23) => (17, 24) @ (22, 23) == 1
(17, 24) => (16, 25) @ (22, 24) == 1
(16, 25) => (15, 26) @ (22, 25) == 1
(15, 26) => (14, 27) @ (22, 26) == 1
(14, 27) => (13, 28) @ (22, 27) == 1
(13, 28) => (12, 29) @ (22, 28) == 1
(12, 29) => (11, 30) @ (22, 29) == 1
(11, 30) => (10, 31) @ (22, 30) == 1
(10, 31) => (9, 32) @ (22, 31) == 1
(9, 32) => (8, 33) @ (22, 32) == 1
(8, 33) => (7, 34) @ (22, 33) == 1
(7, 34) => (6, 35) @ (22, 34) == 1
(6, 35) => (7, 34) @ (22, 35) == -1
(7, 34) => (8, 33) @ (22, 34) == -1
(8, 33) => (9, 32) @ (22, 33) == -1
(9, 32) => (10, 31) @ (22, 32) == -1
(10, 31) => (11, 30) @ (22, 31) == -1
(11, 30) => (12, 29) @ (22, 30) == -1
(12, 29) => (13, 28) @ (22, 29) == -1
(13, 28) => (14, 27) @ (22, 28) == -1
(14, 27) => (15, 26) @ (22, 27) == -1
(15, 26) => (16, 25) @ (22, 26) == -1
(16, 25) => (17, 24) @ (22, 25) == -1
(17, 24) => (18, 23) @ (22, 24) == -1
(18, 23) => (19, 22) @ (22, 23) == -1
(19, 22) => (20, 21) @ (22, 22) == -1
(20, 21) => (21, 20) @ (22, 21) == -1
(21, 20) => (20, 19) @ (22, 20) == -1
(20, 19) => (19, 18) @ (22, 19) == -1
(19, 18) => (18, 17) @ (22, 18) == -1
(18, 17) => (17, 16) @ (22, 17) == -1
(17, 16) => (16, 15) @ (22, 16) == -1
(16, 15) => (15, 14) @ (22, 15) == -1
(15, 14) => (14, 13) @ (22, 14) == -1
(14, 13) => (13, 12) @ (22, 13) == -1
(13, 12) => (12, 11) @ (22, 12) == -1
(12, 11) => (11, 10) @ (22, 11) == -1
(11, 10) => (10, 9) @ (22, 10) == -1
(10, 9) => (9, 8) @ (22, 9) == -1
(9, 8) => (8, 7) @ (22, 8) == -1
(8, 7) => (9, 8) @ (22, 7) == 1
(9, 8) => (10, 9) @ (22, 8) == 1
(10, 9) => (11, 10) @ (22, 9) == 1
(11, 10) => (12, 11) @ (22, 10) == 1
(12, 11) => (13, 12) @ (22, 11) == 1
(13, 12) => (14, 13) @ (22, 12) == 1
(14, 13) => (15, 14) @ (22, 13) == 1
(15, 14) => (16, 15) @ (22, 14) == 1
(16, 15) => (17, 16) @ (22, 15) == 1
(17, 16) => (18, 17) @ (22, 16) == 1
(18, 17) => (19, 18) @ (22, 17) == 1
(19, 18) => (20, 19) @ (22, 18) == 1
(20, 19) => (21, 20) @ (22, 19) == 1
(21, 20) => (20, 21) @ (22, 20) == 1
(20, 21) => (19, 22) @ (22, 21) == 1
(19, 22) => (18, 23) @ (22, 22) == 1
(18, 23) => (17, 24) @ (22, 23) == 1
(17, 24) => (16, 25) @ (22, 24) == 1
(16, 25) => (15, 26) @ (22, 25) == 1
(15, 26) => (14, 27) @ (22, 26) == 1
(14, 27) => (13, 28) @ (22, 27) == 1
(13, 28) => (12, 29) @ (22, 28) == 1
(12, 29) => (11, 30) @ (22, 29) == 1
(11, 30) => (10, 31) @ (22, 30) == 1
(10, 31) => (9, 32) @ (22, 31) == 1
(9, 32) => (8, 33) @ (22, 32) == 1
(8, 33) => (7, 34) @ (22, 33) == 1
(7, 34) => (6, 35) @ (22, 34) == 1
(6, 35) => (5, 34) @ (22, 35) == -1
(5, 34) => (4, 35) @ (22, 34) == 1
(4, 35) => (3, 34) @ (22, 35) == -1
(3, 34) => (2, 35) @ (22, 34) == 1
(2, 35) => (1, 34) @ (22, 35) == -1
(1, 34) => (2, 35) @ (22, 34) == 1
(2, 35) => (3, 34) @ (22, 35) == -1
(3, 34) => (4, 33) @ (22, 34) == -1
(4, 33) => (5, 34) @ (22, 33) == 1
(5, 34) => (6, 35) @ (22, 34) == 1
(6, 35) => (7, 34) @ (22, 35) == -1
(7, 34) => (8, 33) @ (22, 34) == -1
(8, 33) => (9, 32) @ (22, 33) == -1
(9, 32) => (10, 31) @ (22, 32) == -1
(10, 31) => (11, 30) @ (22, 31) == -1
(11, 30) => (12, 29) @ (22, 30) == -1
(12, 29) => (13, 28) @ (22, 29) == -1
(13, 28) => (14, 27) @ (22, 28) == -1
(14, 27) => (15, 26) @ (22, 27) == -1
(15, 26) => (16, 25) @ (22, 26) == -1
(16, 25) => (17, 24) @ (22, 25) == -1
(17, 24) => (18, 23) @ (22, 24) == -1
(18, 23) => (19, 22) @ (22, 23) == -1
(19, 22) => (20, 21) @ (22, 22) == -1
(20, 21) => (21, 20) @ (22, 21) == -1
(21, 20) => (20, 19) @ (22, 20) == -1
(20, 19) => (19, 18) @ (22, 19) == -1
(19, 18) => (18, 17) @ (22, 18) == -1
(18, 17) => (17, 16) @ (22, 17) == -1
(17, 16) => (16, 15) @ (22, 16) == -1
(16, 15) => (15, 14) @ (22, 15) == -1
(15, 14) => (14, 13) @ (22, 14) == -1
(14, 13) => (13, 12) @ (22, 13) == -1
(13, 12) => (12, 11) @ (22, 12) == -1
(12, 11) => (11, 10) @ (22, 11) == -1
(11, 10) => (10, 9) @ (22, 10) == -1
(10, 9) => (9, 8) @ (22, 9) == -1
(9, 8) => (8, 7) @ (22, 8) == -1
(8, 7) => (7, 6) @ (22, 7) == -1
(7, 6) => (6, 7) @ (22, 6) == 1
(6, 7) => (5, 6) @ (22, 7) == -1
(5, 6) => (6, 7) @ (22, 6) == 1
(6, 7) => (5, 6) @ (22, 7) == -1
(5, 6) => (4, 5) @ (22, 6) == -1
(4, 5) => (3, 4) @ (22, 5) == -1
(3, 4) => (2, 3) @ (22, 4) == -1
(2, 3) => (1, 2) @ (22, 3) == -1
(1, 2) => (2, 1) @ (22, 2) == -1
(2, 1) => (3, 2) @ (22, 1) == 1
(3, 2) => (4, 3) @ (22, 2) == 1
(4, 3) => (5, 4) @ (22, 3) == 1
(5, 4) => (4, 5) @ (22, 4) == 1
(4, 5) => (3, 6) @ (22, 5) == 1
(3, 6) => (2, 7) @ (22, 6) == 1
(2, 7) => (1, 8) @ (22, 7) == 1
(1, 8) => (2, 9) @ (22, 8) == 1
(2, 9) => (1, 8) @ (22, 9) == -1
(1, 8) => (2, 7) @ (22, 8) == -1
(2, 7) => (3, 6) @ (22, 7) == -1
(3, 6) => (4, 5) @ (22, 6) == -1
(4, 5) => (5, 4) @ (22, 5) == -1
(5, 4) => (6, 3) @ (22, 4) == -1
(6, 3) => (7, 2) @ (22, 3) == -1
(7, 2) => (8, 1) @ (22, 2) == -1
(8, 1) => (9, 2) @ (22, 1) == 1
(9, 2) => (10, 3) @ (22, 2) == 1
(10, 3) => (11, 4) @ (22, 3) == 1
(11, 4) => (12, 5) @ (22, 4) == 1
(12, 5) => (13, 6) @ (22, 5) == 1
(13, 6) => (14, 7) @ (22, 6) == 1
(14, 7) => (15, 8) @ (22, 7) == 1
(15, 8) => (16, 9) @ (22, 8) == 1
(16, 9) => (17, 10) @ (22, 9) == 1
(17, 10) => (18, 11) @ (22, 10) == 1
(18, 11) => (19, 12) @ (22, 11) == 1
(19, 12) => (20, 13) @ (22, 12) == 1
(20, 13) => (21, 14) @ (22, 13) == 1
(21, 14) => (20, 15) @ (22, 14) == 1
(20, 15) => (19, 16) @ (22, 15) == 1
(19, 16) => (18, 17) @ (22, 16) == 1
(18, 17) => (17, 18) @ (22, 17) == 1
(17, 18) => (16, 19) @ (22, 18) == 1
(16, 19) => (15, 20) @ (22, 19) == 1
(15, 20) => (14, 21) @ (22, 20) == 1
(14, 21) => (13, 22) @ (22, 21) == 1
(13, 22) => (12, 23) @ (22, 22) == 1
(12, 23) => (11, 24) @ (22, 23) == 1
(11, 24) => (10, 25) @ (22, 24) == 1
(10, 25) => (9, 24) @ (22, 25) == -1
(9, 24) => (8, 23) @ (22, 24) == -1
(8, 23) => (7, 22) @ (22, 23) == -1
(7, 22) => (8, 21) @ (22, 22) == -1
(8, 21) => (9, 20) @ (22, 21) == -1
(9, 20) => (10, 19) @ (22, 20) == -1
(10, 19) => (11, 18) @ (22, 19) == -1
(11, 18) => (12, 17) @ (22, 18) == -1
(12, 17) => (13, 16) @ (22, 17) == -1
(13, 16) => (14, 15) @ (22, 16) == -1
(14, 15) => (15, 14) @ (22, 15) == -1
(15, 14) => (16, 13) @ (22, 14) == -1
(16, 13) => (17, 12) @ (22, 13) == -1
(17, 12) => (18, 11) @ (22, 12) == -1
(18, 11) => (19, 10) @ (22, 11) == -1
(19, 10) => (20, 9) @ (22, 10) == -1
(20, 9) => (21, 8) @ (22, 9) == -1
(21, 8) => (20, 7) @ (22, 8) == -1
(20, 7) => (19, 6) @ (22, 7) == -1
(19, 6) => (18, 5) @ (22, 6) == -1
(18, 5) => (17, 4) @ (22, 5) == -1
(17, 4) => (16, 3) @ (22, 4) == -1
(16, 3) => (15, 2) @ (22, 3) == -1
(15, 2) => (14, 1) @ (22, 2) == -1
(14, 1) => (13, 2) @ (22, 1) == 1
(13, 2) => (12, 3) @ (22, 2) == 1
(12, 3) => (11, 4) @ (22, 3) == 1
(11, 4) => (10, 5) @ (22, 4) == 1
(10, 5) => (9, 6) @ (22, 5) == 1
(9, 6) => (8, 7) @ (22, 6) == 1
(8, 7) => (7, 8) @ (22, 7) == 1
(7, 8) => (8, 7) @ (22, 8) == -1
(8, 7) => (9, 6) @ (22, 7) == -1
(9, 6) => (10, 5) @ (22, 6) == -1
(10, 5) => (11, 4) @ (22, 5) == -1
(11, 4) => (12, 3) @ (22, 4) == -1
(12, 3) => (13, 2) @ (22, 3) == -1
(13, 2) => (14, 1) @ (22, 2) == -1
(14, 1) => (15, 2) @ (22, 1) == 1
(15, 2) => (16, 3) @ (22, 2) == 1
(16, 3) => (17, 4) @ (22, 3) == 1
(17, 4) => (18, 5) @ (22, 4) == 1
(18, 5) => (19, 6) @ (22, 5) == 1
(19, 6) => (20, 7) @ (22, 6) == 1
(20, 7) => (21, 8) @ (22, 7) == 1
(21, 8) => (20, 9) @ (22, 8) == 1
(20, 9) => (19, 10) @ (22, 9) == 1
(19, 10) => (18, 11) @ (22, 10) == 1
(18, 11) => (17, 12) @ (22, 11) == 1
(17, 12) => (16, 13) @ (22, 12) == 1
(16, 13) => (15, 14) @ (22, 13) == 1
(15, 14) => (14, 15) @ (22, 14) == 1
(14, 15) => (13, 16) @ (22, 15) == 1
(13, 16) => (12, 17) @ (22, 16) == 1
(12, 17) => (11, 18) @ (22, 17) == 1
(11, 18) => (10, 19) @ (22, 18) == 1
(10, 19) => (9, 20) @ (22, 19) == 1
(9, 20) => (8, 21) @ (22, 20) == 1
(8, 21) => (7, 22) @ (22, 21) == 1
(7, 22) => (8, 21) @ (22, 22) == -1
(8, 21) => (9, 20) @ (22, 21) == -1
(9, 20) => (10, 19) @ (22, 20) == -1
(10, 19) => (11, 18) @ (22, 19) == -1
(11, 18) => (12, 17) @ (22, 18) == -1
(12, 17) => (13, 16) @ (22, 17) == -1
(13, 16) => (14, 15) @ (22, 16) == -1
(14, 15) => (15, 14) @ (22, 15) == -1
(15, 14) => (16, 13) @ (22, 14) == -1
(16, 13) => (17, 12) @ (22, 13) == -1
(17, 12) => (18, 11) @ (22, 12) == -1
(18, 11) => (19, 10) @ (22, 11) == -1
(19, 10) => (20, 9) @ (22, 10) == -1
(20, 9) => (21, 8) @ (22, 9) == -1
(21, 8) => (20, 7) @ (22, 8) == -1
(20, 7) => (19, 6) @ (22, 7) == -1
(19, 6) => (18, 5) @ (22, 6) == -1
(18, 5) => (17, 4) @ (22, 5) == -1
(17, 4) => (16, 3) @ (22, 4) == -1
(16, 3) => (15, 2) @ (22, 3) == -1
(15, 2) => (14, 1) @ (22, 2) == -1
(14, 1) => (13, 2) @ (22, 1) == 1
(13, 2) => (12, 3) @ (22, 2) == 1
(12, 3) => (11, 4) @ (22, 3) == 1
(11, 4) => (10, 5) @ (22, 4) == 1
(10, 5) => (9, 6) @ (22, 5) == 1
(9, 6) => (8, 7) @ (22, 6) == 1
(8, 7) => (7, 8) @ (22, 7) == 1
(7, 8) => (6, 9) @ (22, 8) == 1
(6, 9) => (5, 10) @ (22, 9) == 1
(5, 10) => (6, 9) @ (22, 10) == -1
(6, 9) => (7, 8) @ (22, 9) == -1
(7, 8) => (8, 7) @ (22, 8) == -1
(8, 7) => (9, 6) @ (22, 7) == -1
(9, 6) => (10, 5) @ (22, 6) == -1
(10, 5) => (11, 4) @ (22, 5) == -1
(11, 4) => (12, 3) @ (22, 4) == -1
(12, 3) => (13, 2) @ (22, 3) == -1
(13, 2) => (14, 1) @ (22, 2) == -1
(14, 1) => (15, 2) @ (22, 1) == 1
(15, 2) => (16, 3) @ (22, 2) == 1
(16, 3) => (17, 4) @ (22, 3) == 1
(17, 4) => (18, 5) @ (22, 4) == 1
(18, 5) => (19, 6) @ (22, 5) == 1
(19, 6) => (20, 7) @ (22, 6) == 1
(20, 7) => (21, 8) @ (22, 7) == 1
(21, 8) => (20, 9) @ (22, 8) == 1
(20, 9) => (19, 10) @ (22, 9) == 1
(19, 10) => (18, 11) @ (22, 10) == 1
(18, 11) => (17, 12) @ (22, 11) == 1
(17, 12) => (16, 13) @ (22, 12) == 1
(16, 13) => (15, 14) @ (22, 13) == 1
(15, 14) => (14, 15) @ (22, 14) == 1
(14, 15) => (13, 16) @ (22, 15) == 1
(13, 16) => (12, 17) @ (22, 16) == 1
(12, 17) => (11, 18) @ (22, 17) == 1
(11, 18) => (10, 19) @ (22, 18) == 1
(10, 19) => (9, 20) @ (22, 19) == 1
(9, 20) => (8, 21) @ (22, 20) == 1
(8, 21) => (7, 22) @ (22, 21) == 1
(7, 22) => (6, 23) @ (22, 22) == 1
(6, 23) => (5, 24) @ (22, 23) == 1
(5, 24) => (6, 25) @ (22, 24) == 1
(6, 25) => (5, 24) @ (22, 25) == -1
(5, 24) => (4, 23) @ (22, 24) == -1
(4, 23) => (5, 24) @ (22, 23) == 1
(5, 24) => (6, 25) @ (22, 24) == 1
(6, 25) => (7, 26) @ (22, 25) == 1
(7, 26) => (6, 27) @ (22, 26) == 1
(6, 27) => (7, 28) @ (22, 27) == 1
(7, 28) => (6, 27) @ (22, 28) == -1
(6, 27) => (5, 26) @ (22, 27) == -1
(5, 26) => (6, 27) @ (22, 26) == 1
(6, 27) => (7, 28) @ (22, 27) == 1
(7, 28) => (6, 27) @ (22, 28) == -1
(6, 27) => (5, 26) @ (22, 27) == -1
(5, 26) => (4, 25) @ (22, 26) == -1
(4, 25) => (5, 24) @ (22, 25) == -1
(5, 24) => (6, 23) @ (22, 24) == -1
(6, 23) => (7, 22) @ (22, 23) == -1
(7, 22) => (8, 21) @ (22, 22) == -1
(8, 21) => (9, 20) @ (22, 21) == -1
(9, 20) => (10, 19) @ (22, 20) == -1
(10, 19) => (11, 18) @ (22, 19) == -1
(11, 18) => (12, 17) @ (22, 18) == -1
(12, 17) => (13, 16) @ (22, 17) == -1
(13, 16) => (14, 15) @ (22, 16) == -1
(14, 15) => (15, 14) @ (22, 15) == -1
(15, 14) => (16, 13) @ (22, 14) == -1
(16, 13) => (17, 12) @ (22, 13) == -1
(17, 12) => (18, 11) @ (22, 12) == -1
(18, 11) => (19, 10) @ (22, 11) == -1
(19, 10) => (20, 9) @ (22, 10) == -1
(20, 9) => (21, 8) @ (22, 9) == -1
(21, 8) => (20, 7) @ (22, 8) == -1
(20, 7) => (19, 6) @ (22, 7) == -1
(19, 6) => (18, 5) @ (22, 6) == -1
(18, 5) => (17, 4) @ (22, 5) == -1
(17, 4) => (16, 3) @ (22, 4) == -1
(16, 3) => (15, 2) @ (22, 3) == -1
(15, 2) => (14, 1) @ (22, 2) == -1
(14, 1) => (13, 2) @ (22, 1) == 1
(13, 2) => (12, 3) @ (22, 2) == 1
(12, 3) => (11, 4) @ (22, 3) == 1
(11, 4) => (10, 5) @ (22, 4) == 1
(10, 5) => (9, 6) @ (22, 5) == 1
(9, 6) => (8, 7) @ (22, 6) == 1
(8, 7) => (7, 8) @ (22, 7) == 1
(7, 8) => (6, 9) @ (22, 8) == 1
(6, 9) => (5, 10) @ (22, 9) == 1
(5, 10) => (4, 11) @ (22, 10) == 1
(4, 11) => (5, 12) @ (22, 11) == 1
(5, 12) => (6, 13) @ (22, 12) == 1
(6, 13) => (7, 14) @ (22, 13) == 1
(7, 14) => (8, 15) @ (22, 14) == 1
(8, 15) => (7, 14) @ (22, 15) == -1
(7, 14) => (6, 13) @ (22, 14) == -1
(6, 13) => (5, 12) @ (22, 13) == -1
(5, 12) => (4, 11) @ (22, 12) == -1
(4, 11) => (3, 10) @ (22, 11) == -1
(3, 10) => (2, 9) @ (22, 10) == -1
(2, 9) => (1, 8) @ (22, 9) == -1
(1, 8) => (2, 7) @ (22, 8) == -1
(2, 7) => (3, 6) @ (22, 7) == -1
(3, 6) => (4, 5) @ (22, 6) == -1
(4, 5) => (5, 4) @ (22, 5) == -1
(5, 4) => (6, 3) @ (22, 4) == -1
(6, 3) => (7, 2) @ (22, 3) == -1
(7, 2) => (8, 1) @ (22, 2) == -1
(8, 1) => (9, 2) @ (22, 1) == 1
(9, 2) => (10, 3) @ (22, 2) == 1
(10, 3) => (11, 4) @ (22, 3) == 1
(11, 4) => (12, 5) @ (22, 4) == 1
(12, 5) => (13, 6) @ (22, 5) == 1
(13, 6) => (14, 7) @ (22, 6) == 1
(14, 7) => (15, 8) @ (22, 7) == 1
(15, 8) => (16, 9) @ (22, 8) == 1
(16, 9) => (17, 10) @ (22, 9) == 1
(17, 10) => (18, 11) @ (22, 10) == 1
(18, 11) => (19, 12) @ (22, 11) == 1
(19, 12) => (20, 13) @ (22, 12) == 1
(20, 13) => (21, 14) @ (22, 13) == 1
(21, 14) => (20, 15) @ (22, 14) == 1
(20, 15) => (19, 16) @ (22, 15) == 1
(19, 16) => (18, 17) @ (22, 16) == 1
(18, 17) => (17, 18) @ (22, 17) == 1
(17, 18) => (16, 19) @ (22, 18) == 1
(16, 19) => (15, 20) @ (22, 19) == 1
(15, 20) => (14, 21) @ (22, 20) == 1
(14, 21) => (13, 22) @ (22, 21) == 1
(13, 22) => (12, 23) @ (22, 22) == 1
(12, 23) => (11, 24) @ (22, 23) == 1
(11, 24) => (10, 25) @ (22, 24) == 1
(10, 25) => (9, 26) @ (22, 25) == 1
(9, 26) => (8, 25) @ (22, 26) == -1
(8, 25) => (7, 24) @ (22, 25) == -1
(7, 24) => (6, 23) @ (22, 24) == -1
(6, 23) => (5, 22) @ (22, 23) == -1
(5, 22) => (4, 23) @ (22, 22) == 1
(4, 23) => (5, 22) @ (22, 23) == -1
(5, 22) => (4, 23) @ (22, 22) == 1
(4, 23) => (3, 24) @ (22, 23) == 1
(3, 24) => (2, 25) @ (22, 24) == 1
